المجموعة الرئيسية ,Main Category ,مجموعة الذكر Sub Category,مجموعة الذكر EN,الذكر بالعربي,EN,EN-letters,Count ,فضل الذكر AR,فضل الذكر EN,تخريج الحديث,تخريج الحديث EN
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,اللّهُـمَّ بِكَ أَصْـبَحْنا وَبِكَ أَمْسَـينا ، وَبِكَ نَحْـيا وَبِكَ نَمُـوتُ وَإِلَـيْكَ النُّـشُور.,"O Allah, by Your leave we have reached the morning and by Your leave we have reached the evening, by Your leave we live and die and unto You is our return.","Allahumma bika asbahna;
Wa’bika amsaina;
Wa’bika nahya;
Wa’bika namooth;
Wa’ilay’kaal nushoor.",1,"كان رَسُولُ اللَّهِ صلى الله عليه وسلم يُعَلِّمُ أَصْحَابَهُ قولها كل صباح ومساء‏ 
",The Messenger ﷺ taught his companions to recite this Dua in evening and morning,"
جامع الترمذي",Jami` at-Tirmidhi 
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,أَصْبَـحْـنا عَلَى فِطْرَةِ الإسْلاَمِ، وَعَلَى كَلِمَةِ الإِخْلاَصِ، وَعَلَى دِينِ نَبِيِّنَا مُحَمَّدٍ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، وَعَلَى مِلَّةِ أَبِينَا إبْرَاهِيمَ حَنِيفاً مُسْلِماً وَمَا كَانَ مِنَ المُشْرِكِينَ.,"We have risen the morning upon the fitrah of al-Islam, and the word of pure faith, and upon the religion of our Prophet Muhammad and the religion of our forefather Ibrahim, who was a Muslim and of true faith and was not of those who associate others with Allah.","Asbahna ala fitratil-islam;
Wa’ala kalimatil-ikhlas;
Wa’ala deeni nabi’yyina Muhammadin sallalla-hu alai’hi wasallam;
Wa’ala millati abeena Ibrahima hanee’faan muslimah;
Waama kana minal-mushrikeen.",1,"كانَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَقُولُها إِذَا أَصْبَحَ
",Allah's Messenger peace and blessing be upon him used to say it in the morning," 
حصن المسلم
"," Hisn al-Muslim 
"
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,سُبْحـانَ اللهِ وَبِحَمْـدِهِ عَدَدَ خَلْـقِه ، وَرِضـا نَفْسِـه ، وَزِنَـةَ عَـرْشِـه ، وَمِـدادَ كَلِمـاتِـه.,"How perfect Allah is; and I praise Him by the number of His creation and His pleasure, and by the weight of His throne, and the ink of His words.","SubhanAllahi wa-bihamdih;
Aa’dada khal’qi;
Wa’rida nafsih;
Wa’zinata aa’rshih;
Wa’midada kalimatih.",3,"خَرَجَ النَّبي صلَّى الله عليه وسلم مِنْ عِنْدِ جويرية بُكْرَةً حِينَ صَلَّى الصُّبْحَ وَهِيَ فِي مَسْجِدِهَا ثُمَّ رَجَعَ بَعْدَ أَنْ أَضْحَى وَهِيَ جَالِسَةٌ فَقَالَ ‏""‏ مَا زِلْتِ عَلَى الْحَالِ الَّتِي فَارَقْتُكِ عَلَيْهَا ‏""‏ ‏.‏ قَالَتْ نَعَمْ ‏.‏ قَالَ النَّبِيُّ صلى الله عليه وسلم ‏""‏ لَقَدْ قُلْتُ بَعْدَكِ أَرْبَعَ كَلِمَاتٍ ثَلاَثَ مَرَّاتٍ لَوْ وُزِنَتْ بِمَا قُلْتِ مُنْذُ الْيَوْمِ لَوَزَنَتْهُنَّ (هه الاذكار)‏
","Juwairiya reported that Allah's Messenger (ﷺ) came out from (her apartment) in the morning as she was busy in observing her dawn prayer in her place of worship. He came back in the forenoon and she was still sitting there. He (the Holy Prophet) said to her:

You have been in the same seat since I left you. She said: Yes. Thereupon Allah's Apostle (ﷺ) said: I recited four words three times after I left you and if these are to be weighed against what you have recited since morning these would outweigh them  (these words).","
صحيح مسلم",Sahih Muslim  At-Trimidhi
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,"اللّهُـمَّ عافِـني في بَدَنـي،
اللّهُـمَّ عافِـني في سَمْـعي،
اللّهُـمَّ عافِـني في بَصَـري،
لا إلهَ إلاّ اللّه أَنْـتَ.
اللّهُـمَّ إِنّـي أَعـوذُبِكَ مِنَ الْكُـفر، وَالفَـقْر،
وَأَعـوذُ بِكَ مِنْ عَذابِ القَـبْر،
لا إلهَ إلاّ أَنْـتَ.","O Allah, grant my body health, O Allah, grant my hearing health, O Allah, grant my sight health. None has the right to be worshipped except You, O Allah, I take refuge with You from disbelief and poverty, and I take refuge with You from the punishment of the grave. None has the right to be worshipped except You.","Allahumma aa’fi-nee fee bada’nee;
Allahumma aa’fi-nee fee sam’ee;
Allahumma aa’fi-nee fee basa’ree;
La ilaha illa-ant;
Allahumma innee aa’oozu-bika minal-kufri wal-faqr;
Wa’aa’oo-zu-bika min aa’zaa-bil-qabr;
La ilaha illa-ant.",3,"عن  أَبِي بَكْرَة أنه سَمِعْ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَدْعُو بِهِنَّ

","Abu Bakrah-May Allah be pleased with him-  would recite this Dua every morning and evening as he heard the Prophet ﷺ reciting it.","
أبو داوود",Abu Dawood 
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,اللّهُـمَّ إِنِّـي أسْـأَلُـكَ العَـفْوَ وَالعـافِـيةَ في الدُّنْـيا وَالآخِـرَة ، اللّهُـمَّ إِنِّـي أسْـأَلُـكَ العَـفْوَ وَالعـافِـيةَ في ديني وَدُنْـيايَ وَأهْـلي وَمالـي ، اللّهُـمَّ اسْتُـرْ عـوْراتي وَآمِـنْ رَوْعاتـي ، اللّهُـمَّ احْفَظْـني مِن بَـينِ يَدَيَّ وَمِن خَلْفـي وَعَن يَمـيني وَعَن شِمـالي ، وَمِن فَوْقـي ، وَأَعـوذُ بِعَظَمَـتِكَ أَن أُغْـتالَ مِن تَحْتـي.,"O Allah, I ask You for pardon and well-being in this life and the next. O Allah, I ask You for pardon and well-being in my religious and worldly affairs, and my family and my wealth. O Allah, veil my weaknesses and set at ease my dismay, and preserve me from the front and from behind and on my right and on my left and from above, and I take refuge with You lest I be swallowed up by the earth.","Allahumma innee as-aalukal aaf’wa wal-aa’fiyah;
Fid-dunya wal-akhirah;
Allahumma innee as’alukal aa’fwa wal-aa’fiyah;
Fee dee’nee wa’dunya-ya;
Wa’ahlee wama-lee;
Allah hummas-tur aaw-ra’tee;
Wa aa’mir raw-aa’tee;
Wah fiz’nee min bai’nee ya-dai’yaa;
Wa-min khal’fee;
Wa’aai ya’mee-nee;
Wa’aai shee’malee,
Wa-min faw’qee;
Wa’aa-oozubi aa’zaa-matika aan oogh-tala min tahtee.",1,"لَمْ يَكُنْ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَدَعُ هَؤُلَاءِ الْكَلِمَاتِ حِينَ يُمْسِي وَحِينَ يُصْبِحُ
",God’s messenger never failed to use these words evening and morning," 
صحيح ابن ماجه
أبو داوود
حصن المسلم ","Sahih Ibn Majah 
Abu Dawud.
 Hisn al-Muslim"
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,يَا حَيُّ يَا قيُّومُ بِرَحْمَتِكَ أسْتَغِيثُ أصْلِحْ لِي شَأنِي كُلَّهُ وَلاَ تَكِلْنِي إلَى نَفْسِي طَـرْفَةَ عَيْنٍ.,"O Ever Living, O self-subsisting and supporter of all, by Your mercy I seek assistance, rectify for me all of my affairs and do not leave me to myself, even for the blink of an eye.","Ya hayyu ya qay’yum;
Bi-rah’matika asta’gis;
As’lih li sha’ni kullah;
Wa’la takil’ni ila nafsi tarfata ayn.",1,"كان رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِذَا كَرَبَهُ أَمْرٌ يقول هذا الدعاء
",When anything caused God’s messenger anxiety he would say,"
رواه الترمذي",Tirmidhi transmitted it
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,أَصْبَـحْـنا وَأَصْبَـحْ المُـلكُ للهِ رَبِّ العـالَمـين ، اللّهُـمَّ إِنِّـي أسْـأَلُـكَ خَـيْرَ هـذا الـيَوْم ، فَـتْحَهُ ، وَنَصْـرَهُ ، وَنـورَهُ وَبَـرَكَتَـهُ ، وَهُـداهُ ، وَأَعـوذُ بِـكَ مِـنْ شَـرِّ ما فـيهِ وَشَـرِّ ما بَعْـدَه.,"We have reached the morning and at this very time all sovereignty belongs to Allah, Lord of the worlds. O Allah, I ask You for the good of this day, its triumphs and its victories, its light & its blessings and its guidance, and I take refuge in You from the evil of this day and the evil that follows it.","Asbahna wa-asbahal mulku lillahi, rabbil aa’la-meen;
Allahumma innee as-aluka khayra ha’zal-yawm;
Fath’hahoo wa nas’rahoo;
Wa noo’-rahoo,, wa baraka’tahoo, ,wa hudah;
Wa aa’oozu-bika min shar-ri’ma feeh;
Wa shar-ri’ma baa’dah.",1, قَالَ ‏رسول الله: إِذَا أَصْبَحَ أَحَدُكُمْ فَلْيَقُلْ (هذا الدعاء) ,"Messenger of Allah ﷺ said:
When one rises in the morning, one should say this Dua.","
أبو داوود",Abu Dawood
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,اللَّهُمَّ إِنَّا نَعُوذُ بِكَ مِنْ أَنْ نُشْرِكَ بِكَ شَيْئًا نَعْلَمُهُ ، وَنَسْتَغْفِرُكَ لِمَا لَا نَعْلَمُهُ.,"O Allah, I take refuge in You lest I should commit shirk with You knowingly and I seek Your forgiveness for what I do unknowingly.","Allahumma inni a’oozu-bika min aan ush’rika bika shai’an aa’lam;
Wa aas’tagfiruka le ma la a’alam.",1,"من قالها ذهب عنه الشرك بالله كثيره وقليله 
"," Whoever says, it will eliminate minor or major polytheismaway from him.","
الألباني",Al-Albani
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ الْهَمِّ وَالْحَزَنِ، وَأَعُوذُ بِكَ مِنْ الْعَجْزِ وَالْكَسَلِ، وَأَعُوذُ بِكَ مِنْ الْجُبْنِ وَالْبُخْلِ، وَأَعُوذُ بِكَ مِنْ غَلَبَةِ الدَّيْنِ، وَقَهْرِ الرِّجَالِ.,"O Allah, I seek refuge in you
from grief and sadness,
from weakness and from laziness,
from miserliness and from cowardice,
from being overcome by debt
and overpowered by men (i.e. others).","Allāhumma 'innī 'a`ūdhu bika
mina ‘l-ḥammi wa ‘l-ḥuzn,
wa ‘l-`ajzi wa ‘l-kasal,
wa ‘l-bukhli wa ‘l-jubn,
wa ḍala`id-dayn,
wa ghalabatir-rijāl.",1,"وَعَنْ أَنَسٍ قَالَ كَانَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَقُولُ (هذا الدعاء)
", Anas said that the Prophet used to say (this Dua),"البخاري

","Al-Bukhari"
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,أسْتَغْفِرُ اللهَ العَظِيمَ الَّذِي لاَ إلَهَ إلاَّ هُوَ، الحَيُّ القَيُّومُ، وَأتُوبُ إلَيهِ.,"I seek the forgiveness of Allah the Mighty, Whom there is none worthy of worship except Him, the Living, the Eternal,
and I repent to Him,","Astaghfirullāha ‘l-'Aẓīm
alladhi lā ilāha illā huwa ‘l-ḥayyul-Qayyūm
wa atūbu ilayh.",1,"من قالهاغَفَرَ اللَّهُ لَهُ وَإِنْ كَانَ فَرَّ مِنَ الزَّحْفِ.
","Whoever says it, Allah will forgive him even if he has deserted the army's ranks.","  أبو داوود 
الترمذي",",Abu Dawud 
 At-Tirmidhi"
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,اللّهُـمَّ عالِـمَ الغَـيْبِ وَالشّـهادَةِ فاطِـرَ السّماواتِ وَالأرْضِ رَبَّ كـلِّ شَـيءٍ وَمَليـكَه ، أَشْهَـدُ أَنْ لا إِلـهَ إِلاّ أَنْت ، أَعـوذُ بِكَ مِن شَـرِّ نَفْسـي وَمِن شَـرِّ الشَّيْـطانِ وَشِرْكِهِ.,"O Allah, knower of the unseen and the seen, creator of the heavens and the earth, Lord and sovereign of all things, I bear witness that none has the right to be worshipped except You. I take refuge in You from the evil of my soul and from the evil and shirk of the devil.","Allahumma aa’limal-ghaybi wash-shahadah;
Fati’ras samawati wal’ard;
Rabba kulli shay’in wa’ma leekah;
Ash’hadu al’laa ilaha illa anth;
Aa’ozu-bika min shar’ri nafsee;
Wa’min shar’rish shay’tani wa-shirki;
",1," ,كان النبي صلى الله عليه وسلم يعلمها أصحابه.إذا أصبحوا وإذا أمسوا وإذا اتخذوا مضاجعهم.

"," ﷺ The Prophet 
 taught his companions to say this Dua in the morning and in the

 .evening, and when going to their beds"," أبو داوود 
الترمذي""","""Abu Dawud, At-Tirmidhi"
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,أَعـوذُ بِكَلِمـاتِ اللّهِ التّـامّـاتِ مِنْ شَـرِّ ما خَلَـق.,I seek protection in the perfect words of Allah from every evil that He has created.,Aa’oozu-bi kalima-tillah heet-taam’mati min sharri ma khalaq.,3,"مَنْ نَزَلَ مَنْزِلًا فَقَالها لَمْ يَضُرَّهُ شَيْءٌ حَتَّى يرحل من منزله ذَلِك
 . من قالها حين يمسي ثلاث مرات لم تضرّه حُمَة تلك الليلة

"," if anyone says it when he alights somewhere, no evil will befall him till he departs from that alighting place of his","أخرجه أحمد، والنسائي في عمل اليوم والليلة، وابن السني
","Imam Ahmed, Alnesaey "
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,اللَّهُمَّ صَلِّ وَسَلِّمْ وَبَارِكْ على نَبِيِّنَا مُحمَّد.,"O Allah, we ask for your peace and blessings upon our Prophet Muhammad.",Allāhumma ṣalli wa sallim `alā nabiyyinā Muḥammad.,10,"
قَالَ النَّبِيُّ صلى الله عليه وسلم: (مَنْ صَلَّى عَلَيَّ صَلاَةً صَلَّى اللَّهُ عَلَيْهِ بِهَا عَشْر)","Whoever prays for Allah's blessings upon me once, will be blessed for it by Allah ten times",صحيح الألباني   أخرجه مسلم  باختلاف يسير ,"Albany, Muslim with Minor difference  "
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,لَا إلَه إلّا اللهُ وَحْدَهُ لَا شَرِيكَ لَهُ، لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءِ قَدِيرِ.,"There is none worthy of worship but Allah alone, Who has no partner,
His is the dominion and to Him belongs all praise,
and He is able to do all things.
","Lā 'ilāha 'illallāhu waḥdahu la sharīka lahu,
lahul-mulku wa lahul-ḥamdu,
wa huwa 'alā kulli shay'in qadīr
",100,"كانت له عدل عشر رقاب، وكتبت له مئة حسنة، ومحيت عنه مئة سيئة، وكانت له حرزا من الشيطان حتى يمسي، ولم يأتِ أحد بأفضل مما جاء به إلا رجل عمل أكثر منه‏ 
",Whoever recites this will have the reward of freeing ten slaves. One hundred Hasanaat (rewards) will be written for him and one hundred misdeeds will be washed away. He will be shielded from Satan until the evening. No one will be able to present anything better than this except for someone who has recited more than this,"
البخاري 
مسلم","Al-Bukhari 
 Muslim"
أذكار الصباح,Morning Zikr,أذكار الصباح,Morning Zikr,"سُبْحـانَ اللهِ وَبِحَمْـدِهِ
",How perfect Allah is; and I praise Him.,"SubhanAllahi wa-bihamdih;
",100,"مَنْ قَالَها حُطَّتْ خَطَايَاهُ, وَإِنْ كَانَتْ مِثْلَ زَبَدِ اَلْبَحْرِ
","Whoever says it,  his sins will be forgiven though they may be as much as the foam of the sea""","
البخاري ","Al-Bukhari 
 Muslim"
